n,p,device,repetition,random_state,timestamp,algorithm,computation_time,motifs,processor
500,0.4,GPU,4,71070,2025-08-21 18:01:43.188919,gpu,0.011,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Apple M3 Max
500,0.4,CPU,0,71070,2025-08-21 18:01:37.382485,matmul,0.008,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Apple M3 Max
500,0.4,CPU,1,71070,2025-08-21 18:01:34.596438,matmul,0.009,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Apple M3 Max
500,0.4,CPU,2,71070,2025-08-21 18:03:03.119777,matmul,0.009,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Apple M3 Max
500,0.4,CPU,3,71070,2025-08-21 18:02:07.866476,matmul,0.01,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Apple M3 Max
500,0.4,CPU,4,71070,2025-08-21 18:02:22.035493,matmul,0.007,[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511  568350  570597 1134798  567730  566597  754593   84086],Apple M3 Max
1000,0.05,GPU,0,71070,2025-08-21 18:02:42.954481,gpu,0.047,[122228200  38513072   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Apple M3 Max
1000,0.05,GPU,1,71070,2025-08-21 18:02:46.649562,gpu,0.013,[122228200  38513072   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Apple M3 Max
1000,0.05,GPU,2,71070,2025-08-21 18:03:36.014733,gpu,0.013,[122228200  38513072   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Apple M3 Max
1000,0.05,GPU,3,71070,2025-08-21 18:02:52.921125,gpu,0.031,[122228200  38513072   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Apple M3 Max
1000,0.05,GPU,4,71070,2025-08-21 18:01:55.410537,gpu,0.013,[122228200  38513072   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Apple M3 Max
1000,0.05,CPU,0,71070,2025-08-21 18:01:50.230004,matmul,0.032,[122228216  38513068   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Apple M3 Max
1000,0.05,CPU,1,71070,2025-08-21 18:01:34.559190,matmul,0.034,[122228216  38513068   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Apple M3 Max
1000,0.05,CPU,2,71070,2025-08-21 18:02:15.401541,matmul,0.034,[122228216  38513068   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Apple M3 Max
1000,0.05,CPU,3,71070,2025-08-21 18:03:24.918649,matmul,0.029,[122228216  38513068   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Apple M3 Max
1000,0.05,CPU,4,71070,2025-08-21 18:02:59.750908,matmul,0.035,[122228216  38513068   1013949   2021008   1011374   1010214    106313    106651    106471     35410      2821      5619      2748      2865       276         3],Apple M3 Max
1000,0.1,GPU,0,71070,2025-08-21 18:02:34.844889,gpu,0.013,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Apple M3 Max
1000,0.1,GPU,1,71070,2025-08-21 18:02:13.760152,gpu,0.012,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Apple M3 Max
1000,0.1,GPU,2,71070,2025-08-21 18:03:07.592981,gpu,0.027,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Apple M3 Max
1000,0.1,GPU,3,71070,2025-08-21 18:02:29.089178,gpu,0.013,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Apple M3 Max
1000,0.1,GPU,4,71070,2025-08-21 18:02:28.845747,gpu,0.013,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Apple M3 Max
1000,0.1,CPU,0,71070,2025-08-21 18:02:47.868405,matmul,0.033,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Apple M3 Max
1000,0.1,CPU,1,71070,2025-08-21 18:03:10.590999,matmul,0.035,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Apple M3 Max
1000,0.1,CPU,2,71070,2025-08-21 18:02:57.536483,matmul,0.042,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Apple M3 Max
