n,p,device,repetition,random_state,timestamp,algorithm,computation_time,motifs,processor
1000,0.1,GPU,2,71070,2025-08-21 14:35:04.765599,gpu,0.029,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Tesla T4
1000,0.1,GPU,3,71070,2025-08-21 14:32:34.559613,gpu,0.029,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Tesla T4
1000,0.1,GPU,4,71070,2025-08-21 14:26:53.456528,gpu,0.029,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Tesla T4
1000,0.1,CPU,0,71070,2025-08-21 14:22:42.474209,matmul,0.535,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Intel(R) Xeon(R) CPU @ 2.00GHz
1000,0.1,CPU,1,71070,2025-08-21 14:23:39.946895,matmul,0.779,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Intel(R) Xeon(R) CPU @ 2.00GHz
1000,0.1,CPU,2,71070,2025-08-21 14:32:53.349296,matmul,0.518,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Intel(R) Xeon(R) CPU @ 2.00GHz
1000,0.1,CPU,3,71070,2025-08-21 14:31:17.484014,matmul,0.753,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Intel(R) Xeon(R) CPU @ 2.00GHz
1000,0.1,CPU,4,71070,2025-08-21 14:36:50.728103,matmul,0.455,[88471136 58832724  3229796  6516806  3258766  3258326   722166   714811   715769   240388    39376    79474    39061    39464     8794      145],Intel(R) Xeon(R) CPU @ 2.00GHz
1000,0.15000000000000002,GPU,0,71070,2025-08-21 14:22:11.482136,gpu,0.028,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Tesla T4
1000,0.15000000000000002,GPU,1,71070,2025-08-21 14:25:23.129310,gpu,0.029,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Tesla T4
1000,0.15000000000000002,GPU,2,71070,2025-08-21 14:38:09.140345,gpu,0.028,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Tesla T4
1000,0.15000000000000002,GPU,3,71070,2025-08-21 14:36:50.670628,gpu,0.016,[62720492 66408908  5802212 11710158  5852930  5858252  2066411  2044398  2046224   689258   179338   361618   180991   180772    63272     1769],Tesla T4
